i,NN
love,NN
erin,NNP
punk,NN
rocker,NN
elephant,NN
dancer,NN
baby,NN
love,NN
hey,UH
there,RB
sexy,JJ
power,NN
zone,NN
ryan,NNP
wrong,JJ
way,NN
cash,NN
flow,NN
fuck,VB
off,RP
junk,NN
box,NN
sex,NN
me,PPO
hot,JJ
bitch,NN
italia,NN
puertorico,KK
angel,NN
bad,JJ
girl,NN
i,NN
love,NN
you,PPSS
lady,NN
on,IN
top,NN
love,NN
sucks,VB
i,NN
hate,VB
you,PPO
jake,NNP
hance,KK
kristina,NNP
Colombia,NP
butt,NN
sluts,NN
herbster,KK
demarest,KK
cally,NNP
ohio,NN
baller,KK
fuck,VB
hoes,NNS
poopie,KK
new,JJ
york,NN
hottay,KK
kill,VB
yourself,PPL
twism,KK
turtle,NN
bee,NN
dinosaur,NN
dinner,NN
hurley,NN
bird,NN
hurt,VB
many,AP
times,NNS
no,AT
fear,NN
in,IN
joy,NN
and,CC
sorrow,NN
